;Name;Genre;City;Status
0;Apokalyptic Raids;Black/Death/Thrash Metal;Rio de Janeiro, Rio de Janeiro;Active
1;Apokalyptisk Framtid;Black Metal/Punk/Noise;Catanduva, Sâo Paulo;Active
2;Apokatastase;Thrash/Death Metal;São Paulo, São Paulo;Active
3;Apokrisis;Thrash/Death Metal;São Paulo, São Paulo, Brazil;Active
4;Apoleon;Thrash Metal;São Paulo, São Paulo;Split-up
5;Apoliom;Thrash Metal;Itabira, Minas Gerais;Split-up
6;Apollyon;Heavy Metal;Formosa, Goiás;Split-up
7;Apollyon;Symphonic/Melodic Death Metal;Curitiba, Paraná;Split-up
8;Apophanous;Progressive Thrash Metal;São Paulo, São Paulo;Active
9;Apophizys;Death Metal;Passo Fundo, Rio Grande do Sul;Split-up
10;Aporya;Melodic Doom/Death Metal;Campina Grande/João Pessoa, Paraíba;Active
11;Apostasia;Death Metal;Farroupilha, Rio Grande do Sul;Split-up
12;Apóstasis;Melodic Black/Death Metal;Brasília, Distrito Federal;Active
13;Apoteom;Groove Metal;Santa Maria, Rio Grande do Sul;Active
14;Apotheke der Seele;Black/Post-Metal;Fazenda Rio Grande, Paraná;Active
15;Apple Sin;Heavy Metal;Barroso, Minas Gerais;Active
16;Apshait;Progressive Heavy Metal;Barbacena, Minas Gerais;Split-up
17;Apus;Black/Death Metal;Salvador, Bahia;Active
18;Aquaria;Symphonic Power Metal;Rio de Janeiro, Rio de Janeiro;Active
19;Aquelarre;Black Metal;São Paulo, São Paulo;Split-up
20;Aqueronte;Black Metal;Curitiba, Paraná;Active
21;Aqueronte DM;Atmospheric Death/Doom Metal;Salvador, Bahia;Active
22;Aquila;Progressive Metal;São Paulo, São Paulo;Changed name
23;Aquiles Priester | Gustavo Carmo;Progressive Metal;;Active
24;Ar da Desgraça;Black Metal;Timbó, Santa Catarina;Active
25;Arab Zaraq;Black Metal;;Split-up
26;Arabesco;Sludge/Doom Metal;São Paulo, São Paulo;Active
27;Aracranios;Black/Death Metal;São Fidélis, Rio de Janeiro;Split-up
28;Arahmok;Raw Black Metal;;Split-up
29;Arandu Arakuaa;Folk Metal;Brasília, Distrito Federal;Active
30;Arani;Pagan Black Metal;Natal, Rio Grande do Norte;Active
31;Arautos do Caos;Thrash/Speed Metal;Osasco, São Paulo;Active
32;Arbach;Black Metal;Anápolis, Goiás;Active
33;Arbovirus;Brutal Death Metal/Grindcore;Itaí, São Paulo;Active
34;Arcana Elysium;Symphonic Metal;Petrópolis, Rio de Janeiro;Active
35;Arcana Mea;Death/Thrash Metal;Cachoeira do Sul, Rio Grande do Sul;Active
36;Arcandria;Heavy/Power Metal;Abreu e Lima, Pernambuco;Split-up
37;Arcane Aeon;Death Metal;Americana, São Paulo;Split-up
38;Arcania;Epic/Atmospheric Black Metal;Poços de Caldas, Minas Gerais / Aparecida de Goiânia, Goiás;Active
39;Arcanjo;Thrash Metal;Brasília, Distrito Federal;Active
40;Arcano Arconte;Black Metal;Sete Lagoas, Minas Gerais;Active
41;Arcantis;Symphonic Power Metal;Salvador, Bahia;Active
42;Arcanu Anima;Doom Metal;Guarulhos, São Paulo;Split-up
43;Archaean;Black Metal;Caruaru, Pernambuco;Unknown
44;Archaeus;Power/Speed Metal;São Paulo, São Paulo;Split-up
45;Archangellus;Black Metal;Barbacena, Minas Gerais;Split-up
46;Archemeday;Black Metal;Erechim, Rio Grande do Sul;Split-up
47;Archenar;Melodic Death Metal;Belo Horizonte, Minas Gerais;Split-up
48;Archityrants;Epic Doom Metal;Curitiba, Paraná;Active
49;Archote;Metalcore;São Paulo, São Paulo;Split-up
50;Archtype;Power Metal;São Paulo;Changed name
51;Archytas;Black Metal;São Paulo;Active
52;Ardil;Death Metal;Porto Alegre, Rio Grande do Sul;Active
53;Are You God?;Brutal Death Metal/Grindcore;São Paulo, São Paulo;Split-up
54;Arelok;Black Metal;Uberlândia, Minas Gerais;Split-up
55;Arena;Heavy/Power Metal;São Paulo, São Paulo;Unknown
56;Arena Age;Thrash Metal;Canoas, Rio Grande do Sul;Active
57;Arena X;Heavy/Power Metal;Natal, Rio Grande do Norte;Unknown
58;Ares Wrath Division;Black Metal;Caxias do Sul, Rio Grande do Sul;On hold
59;Arghon;Progressive/Power Metal;São Bernardo do Campo, São Paulo;Split-up
60;Argos;Heavy Metal;São Paulo, São Paulo;Active
61;Arguerom;Progressive Heavy/Doom Metal;Brasília, Distrito Federal;Active
62;Ariel n' Caliban;Groove/Thrash Metal;Campinas, São Paulo;Split-up
63;Ariel/Kaliban;Power Metal;Palmeira Dos Índios, Alagoas;Active
64;Arimã;Raw Black Metal;Itápolis, São Paulo;Active
65;Arise;Thrash Metal;São Luís, Maranhão;Active
66;Arisen;Thrash Metal;Corumbá, Mato Grosso do Sul;Active
67;Arithmetic Overflow;Progressive Post-Metal;João Pessoa, Paraíba;Active
68;Ark of Sin;Melodic Death Metal;Fortaleza, Ceará;Active
69;Arkadyah;Progressive/Power Metal;São Paulo, São Paulo;Active
70;Arkanger;Black/Death Metal;"Santa Vitória do Palmar, Rio Grande do Sul (early); Florianópolis, Santa Catarina (later)";Active
71;Arkanum;Symphonic Black Metal;Rio de Janeiro, Rio de Janeiro;Active
72;Arkanun;Thrash Metal;Natal, Rio Grande do Norte;Split-up
73;Arkanus;Heavy Metal;;Active
74;Arkanus ad Noctum;Black Metal;Teresina, Piauí;Active
75;Arkariot;Power Metal;Bento Gonçalves, Rio Grande do Sul;Active
76;Arkellian;Thrash Metal;São Paulo, São Paulo;Split-up
77;Arken;Heavy Metal;"São Paulo, São Paulo (early); Luxembourg City, Luxembourg (later)";Active
78;Arkhaikus;Thrash Metal;Presidente Prudente, São Paulo;Split-up
79;Arkhôn Tôn Daimoniôn;Black Metal;Salvador, Bahia;Active
80;Arkkam;Power Metal;São Paulo, São Paulo;Unknown
81;Arkkham;Death Metal;Jundiaí, São Paulo;Unknown
82;Arma;Blackened Speed Metal/Punk;São Paulo, São Paulo;Active
83;Armadilha;Heavy/Speed Metal;São Paulo, São Paulo;Active
84;Armagbuwar;Black/Death Metal;;Unknown
85;Armagedom;Thrash/Death Metal/Crossover;São Paulo, São Paulo;Active
86;Armaggedon;Death Metal;Arcoverde, Pernambuco;Active
87;Armahda;Heavy/Power Metal;São Paulo, São Paulo;Active
88;Armas de Marfim;Heavy Metal;São Paulo, São Paulo;Split-up
89;Armiferum;Progressive/Power Metal;São Paulo;Active
90;Armiilus;Black Metal;Santa Luzia, Minas Gerais;Split-up
91;Armmagedon;Thrash Metal;Belo Horizonte, Minas Gerais;Split-up
92;Armon;Gothic/Doom Metal;Porto Alegre, Rio Grande do Sul;Active
93;Armored Dawn;Power Metal;São Paulo, São Paulo;Active
94;Armum;Death Metal;Goiânia, Goiás;Active
95;Army Kaos;Death Metal;Belo Horizonte, Minas Gerais;Active
96;Army of Agony;Death/Thrash Metal;São Paulo, São Paulo;Unknown
97;Arnion;Thrash Metal;Goiânia, Goiás;Active
98;Aroma de Saturno;Sludge/Doom/Stoner Metal;Blumenau, Santa Catarina;Active
99;Arrastado;Stoner/Doom Metal;Brasília, Distrito Federal;Active
100;Ars Moriendi;Raw Black Metal;;Unknown
101;Ars Nenia;Black Metal;Brasília, Distrito Federal;Split-up
102;Ars Notoria;Black Metal;Curitiba, Paraná;Active
103;Ars Tenebrae;Death/Black Metal;Pouso Alegre, Minas Gerais;Active
104;Arsenal;Thrash Metal;Itajaí, Santa Catarina;Split-up
105;Arsenal Renegade;Heavy Metal;Rio de Janeiro, Rio de Janeiro;Active
106;Arsênio;Thrash Metal;Foz do Iguaçu, Paraná;Active
107;Art Malefica;Raw Black Metal;Ferraz de Vasconcelos, São Paulo;Active
108;Art of Khaos;Progressive Power Metal;Brasilia, Distrito Federal;Split-up
109;Art of Torture;Death Metal;João Pessoa, Paraíba;Active
110;Arte Oculta;Black Metal;Bento Gonçalves, Rio Grande do Sul;Split-up
111;Ártemis;Gothic/Doom Metal;Natal, Rio Grande do Norte;Changed name
112;Arthanus;Melodic Death Metal;São Caetano do Sul, São Paulo;Active
113;Artilharia;Thrash/Death Metal;Jaguariúna, São Paulo;Split-up
114;Artilharia;Heavy Metal;Gravatá, Pernambuco;Active
115;Artless;Thrash Metal;Petrópolis, Rio de Janeiro;Split-up
116;Arton;Heavy/Power Metal;Olímpia, São Paulo;Unknown
117;Arum;Black/Death Metal;São Paulo, São Paulo;Active
118;Arvorar;Atmospheric Black Metal/Dark Ambient;Blumenau, Santa Catarina;Split-up
119;Aryan 88;Black Metal;Niterói, Rio de Janeiro;Unknown
120;Aryan Wood;Raw Black Metal, Harsh Noise;São Paulo, São Paulo;Split-up
121;Aryuz;Heavy Metal;São Paulo, São Paulo;Active
122;As Dramatic Homage;"Black/Doom Metal (early); Extreme Progressive Metal (later)";Rio de Janeiro, Rio de Janeiro;Active
123;As I Die;Depressive Black Metal;Ribeirão Pires, São Paulo;Active
124;As Prophecies;Black Metal;Belo Horizonte, Minas Gerais;Split-up
125;As the Palaces Burn;Groove Metal;Criciúma, Santa Catarina;Active
126;As the Shadows Fall;Black Metal;"Jaboatão, Pernambuco (early); Brasília, Distrito Federal (later)";Split-up
127;As Vampiric Shades and Belial Winds;Black Metal;"Brasília, Distrito Federal (early); Austria (later)";Active
128;Asaradel;"Black/Doom Metal (early); Gothic Rock (later)";Barbacena, Minas Gerais;Active
129;Asas Celestiais;Heavy/Power Metal;Rio de Janeiro, Rio de Janeiro;Active
130;Ascendente;Death/Groove Metal;"São Paulo, Brazil (early); Porto, Portugal (later)";Changed name
131;Ascoroso;Death Metal/Goregrind;Sousa, Paraíba;Active
132;Asfixia;Thrash Metal;Campinas, São Paulo;Unknown
133;Asgard;Death/Thrash Metal;Passo Fundo, Rio Grande do Sul;Split-up
134;Asgard;Viking/Folk Metal;Lages, Santa Catarina;Active
135;Asgard;Thrash Metal;Goiânia, Goiás;Split-up
136;AshBürn;Power Metal;Vitória, Espírito Santo;Active
137;Ashema Deva;Death/Black Metal;Salvador, Bahia;Unknown
138;Ashes;Heavy Metal;Fortaleza, Ceará;Active
139;Ashes of Mirra;Progressive Metal;Rio de Janeiro, Rio de Janeiro;Active
140;Ashtar;Progressive Folk Metal;Rio de Janeiro, Rio de Janeiro;Split-up
141;Ashtoreth;Doom/Black Metal;Florianópolis, Santa Catarina;Active
142;Ashtray;Thrash/Death Metal;Vila Velha, Espirito Santo;Active
143;Ask You Why;Melodic Heavy Metal;Careaçu, Minas Gerais;Split-up
144;Aske;Black/Death Metal;São Carlos, São Paulo;Active
145;Asmodead;Death Metal;Teresina, Piauí;Active
146;Asmodeu;Thrash Metal;Santos, São Paulo;Split-up
147;Asmodeus;Thrash/Death Metal;Fortaleza, Ceará;Active
148;Asmodina;Melodic Death/Black Metal;Teresina, Piauí;Split-up
149;Asper;Heavy Metal;Porto Alegre, Rio Grande do Sul;Changed name
150;Asphyxiated;Death Metal;Salvador, Bahia;Active
151;Asphyxihate;Thrash Metal;Balneário Camboriú, Santa Catarina;Active
152;Aspidis;Black/Death Metal;Jaraguá do Sul, Santa Catarina;Active
153;Ass Flavour;Death Metal/Grindcore;Vila Velha, Espírito Santo;Active
154;Assassination;Death/Thrash Metal;Itajaí, Santa Catarina;Changed name
155;Assassinato;Raw Black Metal;São Paulo, São Paulo;Active
156;Assault;Speed/Thrash Metal;Vitória da Conquista, Bahia;Active
157;Assustador;Thrash/Death Metal;;Active
158;Astafix;"Groove Metal (early); Djent/Groove Metal (later)";São Paulo, São Paulo/Caxias do Sul, Rio Grande do Sul;On hold
159;Astaria;Heavy Metal;Cachoeirinha / Porto Alegre, Rio Grande do Sul;Active
160;Astaroth;Heavy Metal;Porto Alegre, Rio Grande do Sul;Split-up
161;Astaroth Cult;Melodic Black Metal;Minas Gerais;Active
162;Asterean;Melodic Black/Death Metal;São Paulo, São Paulo;Active
163;Asterlot;Death Metal;Rio de Janeiro, Rio de Janeiro;On hold
164;Asteroidea;Progressive Metal, Shred;Salvador, Bahia;Split-up
165;Asthar;Heavy Metal;Betim, Minas Gerais;Active
166;Astövidatüs;Black Metal;Blumenau, Santa Catarina;Split-up
167;Astra;Progressive Metal/Hard Rock;São Paulo, São Paulo;Split-up
168;Astrum Aurora;Black Metal;Governador Valadares, Minas Gerais;Split-up
169;Asylum;Doom/Black Metal;Araguari, Minas Gerais;Split-up
170;Asylum Gates;Doom/Death Metal;Araras, São Paulo;Active
171;Ata D'arc;Heavy Metal;Belo Horizonte, Minas Gerais;Unknown
172;Atacke Nuclear;Thrash Metal;Três Corações, Minas Gerais;Active
173;Atani;Thrash/Heavy Metal;;Unknown
174;Ataque;Thrash Metal;São Paulo, São Paulo;Unknown
175;Ataque Epilético;Death Metal, Noise;São Paulo, São Paulo;Active
176;Ataque Nuclear;Thrash Metal/Crossover;Campo Grande, Mato Grosso do Sul;Active
177;Ataque Relâmpago;Thrash Metal;Itapevi, São Paulo;Active
178;Ataque Satânico;Black Metal;Campina Grande, Paraíba;Active
179;Ataque Violento;Thrash Metal;Campina Grande, Paraíba;Active
180;Atarka;Folk Metal;Bragança Paulista, São Paulo;Active
181;Ater Letum;Extreme Symphonic Metal;Campinas, São Paulo;Split-up
182;Ater Nocturnus;Black Metal;Santa Fé do Sul, São Paulo;Active
183;Atestado de Óbito;Thrash Metal/Hardcore;Tabapuã, São Paulo;Active
184;Athar;Metalcore;Campina Grande, Paraíba;Active
185;Atheistc;Symphonic/Melodic Black Metal;Governador Valadares, Minas Gerais;Unknown
186;Athemon;Progressive Metal;São Paulo;Active
187;Ätherisch;Drone/Doom Metal;Osasco, São Paulo;Split-up
188;Athoryns;Death Metal;São Sepé, Rio Grande Do Sul;Active
189;Athos;Heavy Metal;Fortaleza, Ceará;Unknown
190;Athron;Death/Thrash Metal;;Split-up
191;Athus Cerimonae;Black Metal/Dark Ambient;;Active
192;Atlantic Wall;Black Metal;Bauru, São Paulo;Split-up
193;Atlantida;Progressive Rock/Metal;Rio de Janeiro, Rio de Janeiro;Split-up
194;Atlantis;Heavy Metal;Jaraguá do Sul, Santa Catarina;Active
195;Atomic Blast;Thrash Metal;Parnaíba, Piauí;Unknown
196;Atomic Fear;Death Metal;Timóteo, Minas Gerais;Split-up
197;Atomic Roar;Thrash Metal;Rio de Janeiro, Rio de Janeiro;Active
198;Atomic Thrash;Thrash Metal;Rio de Janeiro, Rio de Janeiro;On hold
199;Atomic Thrasher;Thrash Metal;Santo André, São Paulo;Split-up
200;Atra;Black Metal;Lages, Santa Catarina;Active
201;Atria;Thrash Metal/Metalcore;Maricá, Rio de Janeiro;Split-up
202;Atrito Urbano;Thrash Metal/Crossover;Natal, Rio Grande do Norte;Active
203;Atrocitus;Thrash Metal/Metalcore;Curitiba, Paraná;Active
204;Atrocity;Thrash Metal;São Paulo, São Paulo;Split-up
205;Atropelo;Thrash Metal/Crossover;Mauá, São Paulo;Active
206;Atropina;"Thrash/Death Metal (early); Death Metal (later)";Teutônia, Rio Grande do Sul;Active
207;Atrorium;Symphonic Metal;Teresina, Piauí;Active
208;Atroz;Heavy/Progressive Metal;Juiz de Fora, Minas Gerais;Unknown
209;Atrymo;Death/Black Metal;João Pessoa, Paraíba;Active
210;Attack Force;"Heavy Metal (early); Groove/Thrash Metal (later)";Atibaia, São Paulo;Active
211;Attack Kamikaze;Heavy/Thrash Metal;Breves, Marajó;Active
212;Attackill;Thrash Metal;São Paulo, São Paulo;Split-up
213;Attero;Thrash Metal/Hardcore;Uberlândia, Minas Gerais;Active
214;Attitude Force;Heavy Metal;São Paulo, São Paulo;Unknown
215;Attma;Death/Groove Metal;Parnaíba, Piauí;Active
216;Attomic Soldier;Thrash Metal;São Paulo, São Paulo;Active
217;Attomica;Thrash Metal;São José dos Campos, São Paulo;Active
218;Attractha;Hard Rock/Heavy Metal;São Paulo, São Paulo;Active
219;Attro;Speed/Thrash Metal;Pelotas, Rio Grande do Sul;Split-up
220;Au Sacre des Nuits;Funeral Doom/Black Metal;São Paulo, São Paulo;On hold
221;Aura Scent;Death/Thrash/Progressive Metal;Osório, Rio Grande Do Sul;Active
222;Auro Control;Progressive Power Metal;Salvador, Bahia;Active
223;Aurora Ancestral;Doom/Black Metal;Rio Negro, Paraná;Active
224;Aurora Ígnea;Black Metal;Teresina, Piauí;Split-up
225;Aurora Ortus;Black/Doom Metal;São Paulo, São Paulo;Active
226;Auryah;Power/Groove Metal;São Paulo, São Paulo;Active
227;Ausbomben;Black Metal;Joinville, Santa Catarina;Split-up
228;Auschwitz;Brutal Death Metal;São José do Rio Preto, São Paulo;Split-up
229;Auschwitz;Thrash Metal;Natal, Rio Grande do Norte;Split-up
230;Aüscülta;Death Metal/Grindcore;Aracaju, Sergipe;Active
231;Austhral;Symphonic Black/Folk Metal;Florianópolis, Santa Catarina;Split-up
232;Australes Tenebris;Black Metal;Erechim, Rio Grande do Sul;Split-up
233;Austrum Legio;Black Metal;Curitiba, Paraná;Active
234;Autarchy;Melodic Death Metal;Sete Lagoas, Minas Gerais;Unknown
235;Autodestrutivo;Depressive Black Metal;Curitiba, Paraná;Active
236;Autopse;Death/Thrash Metal;Maceió, Alagoas;Active
237;Autopsia;Thrash Metal;Pindamonhangaba, São Paulo;Unknown
238;Autopsy Dementia;Thrash Metal;São Gonçalo/Niterói, Rio de Janeiro;Split-up
239;Autrest;Atmospheric Black Metal;;Active
240;Autumn Flowers;Melodic Death/Doom Metal;Juiz de Fora, Minas Gerais;Split-up
241;Avaken;Power/Thrash Metal;Recife, Pernambuco;Active
242;Avalon;Thrash/Power Metal;Teresina, Piauí;Active
243;Avalon Symphony;Gothic Metal;Natal, Rio Grande do Norte;On hold
244;Avantgard;Power Metal;São Paulo, São Paulo;Split-up
245;Ave Lucifer;Black Metal;Paço do Lumiar, Maranhão;Active
246;Ave Noturna;Heavy Metal;Londrina, Paraná;Active
247;Avec Tristesse;Progressive Metal;Rio de Janeiro, Rio de Janeiro;On hold
248;Avenger;Heavy Metal;São Paulo, São Paulo;Unknown
249;Aventh;Melodic Death Metal;São Paulo, São Paulo;Active
250;Aventhur;Symphonic Progressive Metal;São Paulo, São Paulo;Active
251;Avernus;Black Metal;Belo Horizonte, Minas Gerais;Split-up
252;Aversão;Death Metal;São José do Rio Preto, São Paulo;Active
253;Avitus;Melodic Heavy Metal;Belo Horizonte, Minas Gerais;Split-up
254;Avnas;Stoner/Doom Metal;Santa Maria da Vitória, Bahia;Active
255;Avoid;Thrash/Groove Metal;Maceió, Alagoas;Active
256;Avoid the Pain;Melodic Death Metal;Belo Horizonte, Minas Gerais;Active
257;Avuytor;Black Metal;Ubá, Minas Gerais;Active
258;Await Rottenness;Brutal Death/Black Metal;"Cariacica, Espírito Santo (early); Vila Velha, Espírito Santo (later)";Active
259;Awake;Heavy Metal;Maringá, Paraná;Unknown
260;Awake the Mighty Dragon;Black Metal;Uberlândia, Minas Gerais;Active
261;Awaking;Thrash/Groove Metal;Salvador, Bahia;Active
262;Away from the Sun;Melodic Death Metal/Metalcore;Curitiba, Paraná;Active
263;Axecuter;Heavy/Speed/Thrash Metal;Curitiba, Paraná;Active
264;Axes Connection;Heavy Metal;Porto Alegre, Rio Grande do Sul;Active
265;Axia;Heavy Metal;Campinas, Sao Paulo;Split-up
266;Axya;Progressive Metal;São Paulo, São Paulo;Split-up
267;Ayat Akrass;Death Metal/Hardcore;Curitiba, Paraná;Split-up
268;Aygan;Progressive Metal;São Paulo, São Paulo;Active
269;Ayin;Technical Death Metal;Campo Grande, Mato Grosso do Sul;Active
270;Ayperos;Black Metal;São Paulo, São Paulo;Split-up
271;Ayra;Heavy Metal;Contagem, Minas Gerais;Unknown
272;Azael;Black Metal;Pedregulho, São Paulo;Split-up
273;Azalok;Black Metal;São Paulo, São Paulo / Mossoró, Rio Grande do Norte;Active
274;Azbuk;"Black Metal (early); Death Metal (later)";São Paulo, São Paulo;Split-up
275;Azeuf;Black Metal;;Split-up
276;Aziagus;Black 'n' Roll;;Active
277;Azorrague;Death Metal;Curitiba, Paraná;Active
278;Azoth;Thrash Metal;Brasília, Distrito Federal;Changed name
279;Aztlán;Death Metal;"Feira de Santana, Bahia (early); Salvador, Bahia (Later)";Active
280;Azul Limão;Heavy Metal;Rio de Janeiro, Rio de Janeiro;Active
281;Azul Turquesa;Doom/Black Metal;João Pessoa, Paraíba;Active
282;Azzarok;Heavy Metal;Valparaíso, Valparaíso;Active
283;B on Reason;Heavy/Thrash Metal;;Active
284;Ba'al Draconis;Black Metal;Blumenau, Santa Catarina;Active
285;Baal Hamon;Black Metal;Porto Alegre, Rio Grande do Sul;Split-up
286;Baalberith;Black Metal;São Luís, Maranhão;Split-up
287;Baalzephon;Black Metal;Campos dos Goytacazes, Rio de Janeiro;Split-up
288;Baba de Sheeva;Thrash Metal/Crossover;Goiânia, Goiás;Active
289;Backstroke;Thrash Metal;Brasília, Distrito Federal;Unknown
290;Backtimes;Heavy Metal;Carapicuíba, São Paulo;Unknown
291;Bacterial Food;Goregrind;;Active
292;Bad Salad;Progressive Metal/Rock;Brasília, Distrito Federal;Active
293;Bad Taste;Death/Thrash Metal;Porto Alegre, Rio Grande do Sul;Active
294;Badhead;Thrash Metal/Crossover/Hardcore Punk;;Active
295;Badtrip Surfdeath;Thrash Metal/Grindcore;São Paulo, São Paulo;Active
296;Bael;Black Metal;Santo André, São Paulo;Split-up
297;Baga;Brutal Death Metal/Grindcore;Rio de Janeiro, Rio de Janeiro;Active
298;Baixo Calão;Grindcore;Belém, Pará;Active
299;Balaklava;Groove Metal;São Paulo, São Paulo;Active
300;Balberith;Black Metal;São Paulo, São Paulo;Split-up
301;Balboa's Punch;Thrash Metal;Rio do Sul, Santa Catarina;Active
302;Balisttica;Heavy Metal;Belo Horizonte, Minas Gerais;Changed name
303;Balthorum;Black Metal;Altamira, Pará;Active
304;Balzabouth;Black Metal;Macapá, Amapá;Unknown
305;Banda Sentinelas do Rei;Heavy/Groove Metal;Rio de Janeiro;Unknown
306;Bandana Revenge;Thrash Metal/Punk/Crossover;Resende, Rio de Janeiro;Split-up
307;Bandanos;Thrash Metal/Crossover;São Paulo, São Paulo;Split-up
308;Bane of Havoc;Heavy/Power Metal;Recife, Pernambuco;Active
309;Banefull;Thrash Metal;Mauá, São Paulo;Split-up
310;Banni Conflict;Grindcore;São Paulo, São Paulo;Active
311;Baphomaster;Sludge/Doom Metal;Rio de Janeiro, Rio de Janeiro;Split-up
312;Baphomenum;Black Metal;Brasília, Distrito Federal;Active
313;Baphomet;Death/Thrash Metal;São Bernardo do Campo, São Paulo;Split-up
314;Baphometh;Black Metal;Porto Alegre, Rio Grande do Sul;Split-up
315;Baptised in Ice;Black/Viking Metal;Tatuí, São Paulo;Unknown
316;Baptism in Death;Symphonic Death/Black Metal;Feira de Santana, Bahia;Active
317;Baraque's Lord;Death Metal;Anápolis, Goiás;On hold
318;Barbaria;Heavy Metal;Mogi Mirim, São Paulo;Active
319;Barbarian Warriors in Search of Wisdom;Pagan/Folk Metal;Belo Horizonte, Minas Gerais;Active
320;Barbatos;Brutal Death Metal;Jandira, São Paulo;Split-up
321;Barbed Wire;Death/Thrash Metal;Brasília, Distrito Federal;Split-up
322;Barizon;Stoner Rock/Metal;Rio de Janeiro, Rio de Janeiro;Unknown
323;Bärkdum;Black Metal;Osasco, São Paulo;Split-up
324;Barks of Apocalypse;Death Metal/Grindcore;Catanduva, Sâo Paulo;Split-up
325;BaRok-Projekto;Neoclassical Power Metal;Catalão, Goias;Active
326;Barra Pesada;Stoner Metal;Curitiba, Paraná;Unknown
327;Barrabás;Black Metal;Assis, São Paulo;Active
328;Barrabás d.C;Thrash/Death Metal;Belo Horizonte, Minas Gerais;Split-up
329;Barril de Pólvora;Heavy Metal/Hard Rock;Belo Horizonte, Minas Gerais;Active
330;Barzabel;Black Metal;Salvador, Bahia;Unknown
331;Basalt;Sludge/Post-Metal;São Paulo, São Paulo;Active
332;Basmasura;Black Metal;Manaus, Amazonas;Split-up
333;Bastard;Death Metal;Santa Maria da Vitória, Bahia;Active
334;Bastardo;Thrash Metal/Crossover;São Paulo, São Paulo;Active
335;Basttardz;Thrash Metal/Crossover/Hardcore;São Luís, Maranhão;Active
336;Batrock;Heavy/Power Metal;São Paulo, São Paulo;Split-up
337;Battalion;Heavy Metal;Itajaí, Santa Catarina;Active
338;Battery;Thrash Metal;Jundiaí, São Paulo;Split-up
339;Battle;Heavy/Power Metal;São Paulo, São Paulo;Split-up
340;Battle Prayer;Death/Thrash Metal;Salvador, Bahia;Active
341;Battlechain;Heavy/Power Metal;São Paulo;Active
342;Bauopfer;Black Metal;Lages, Santa Catarina;Split-up
343;BDSM;Raw Black Metal, Grindcore/Noise;;Active
344;Be Misanthropic;Depressive Black Metal;Rio de Janeiro, Rio de Janeiro;Active
345;Bearish;Death/Black Metal;Manaus, Amazonas;Changed name
346;Beast Altar;Black/Death Metal;Londrina, Paraná;Active
347;Beast Conjurator;Death Metal;Recife, Pernambuco;Split-up
348;Beastkrieg;Thrash/Black Metal;São Carlos, São Paulo;Active
349;Bedlam;Black/Death Metal;Curitiba, Paraná;Active
350;Beegar;Death Metal;São Paulo, São Paulo;Split-up
351;Beelzeebubth;Black/Death Metal;Salvador, Bahia;Active
352;Beelzeebuth;Death/Black Metal;São Paulo, São Paulo;Split-up
353;Beermug;Thrash Metal/Crossover;Osasco, São Paulo;Active
354;Befamal;Death/Thrash Metal;João Pessoa, Paraíba;Split-up
355;Before Eden;Progressive/Power Metal;Blumenau, Santa Catarina;Split-up
356;Begotten in Pain;Depressive Black Metal;São Paulo, São Paulo;Active
357;Behael;Raw Black Metal;;Split-up
358;Behalf Fiend;Black Metal;;Active
359;Behatred;Brutal Death Metal;Belém, Pará;On hold
360;Behavior;Death Metal;Salvador, Bahia;Active
361;Behaviour;Thrash/Death Metal;João Pessoa, Paraíba;Active
362;Beheader;Death Metal;Atibaia, São Paulo;Active
363;Behemoth;Black/Death Metal;Barbacena, Minas Gerais;Changed name
364;Behest;Thrash/Death Metal;João Pessoa, Paraíba;Changed name
365;Behind the Horror;Thrash Metal;"Anápolis, Goiás (early); Eatontown, New Jersey (mid); Long Branch, New Jersey, United States (later)";Active
366;Beholder's Cult;Doom/Gothic Metal;Brasília, Distrito Federal;Active
367;Belial;Thrash Metal/Crossover;São Paulo, São Paulo;Split-up
368;Belial Throne;Black/Death Metal;;Unknown
369;Belial War;Extreme Symphonic Metal;Rio de Janeiro, Rio de Janeiro;Split-up
370;Belica;Power Metal;Londrina, Paraná;Unknown
371;Belifer;Black/Death Metal;ABC Paulista / São Paulo, São Paulo;Split-up
372;Bellhharar;Black Metal;São Luís, Maranhão;Split-up
373;Béllica;Groove Metal;Recife, Pernambuco;Unknown
374;Bellica Mors;Epic Heavy/Power Metal;;Active
375;Bellicum Bestiallis;Black/Death Metal;Americana, São Paulo;Active
376;Bellicus Daemoniacus;Black Metal;Campos dos Goytacazes, Rio de Janeiro;Active
377;Belonger;Heavy Metal;Santos, São Paulo;Active
378;Belphegoredon;Black/Doom Metal;Fortaleza, Ceará;Split-up
379;Belsazar;Black Metal;Teresina, Piauí;Active
380;Beltane;Heavy Metal;Irati, Paraná;Active
381;Beltezehara;Black Metal;Minas Gerais;Active
382;Ben Baruk;Symphonic/Progressive Metal;Rio de Janeiro, Rio de Janeiro;Active
383;Benaiah;Power Metal;Barueri, São Paulo;Unknown
384;Benefactor;Death Metal/Grindcore;Suzano, São Paulo;Split-up
385;Benemmerinnen;Black Metal;Salvador, Bahia;Active
386;Benjamin Saga;Progressive Power Metal;Aracaju, Sergipe;Active
387;Bento 666;Death Metal/Grindcore;Pindamonhangaba, São Paulo;Split-up
388;Beowulf;Heavy/Power Metal;Fortaleza, Ceará;Split-up
