;Name;Genre;City;Status
4845;Minothaurus;Power/Thrash Metal;Feira de Santana, Bahia;Active
4846;Minstrel;Heavy Metal;;Unknown
4847;Minus Blindness;Thrash/Groove Metal/Metalcore;Salvador, Bahia;On hold
4848;Minus One;Progressive Metal;Uberlândia, Minas Gerais;Active
4849;Mioma;Metalcore;Minas Gerais;Active
4850;Miracle;Power Metal;Curitiba, Paraná;Unknown
4851;Miraculum;Power Metal;Rio Grande, Rio Grande do Sul;Split-up
4852;Mirahklet;Folk Metal;São Paulo, São Paulo;Active
4853;Mircalla;Symphonic Black Metal;Lavras, Minas Gerais;Split-up
4854;Mirror of God;Metalcore;Taguatinga, Federal District;Active
4855;Miryade;Heavy/Power Metal;Manaus, Amazonas;Unknown
4856;Misannthrophie;Raw Black Metal;Embu Guaçu, São Paulo;Active
4857;Misanthropic;Raw Black Metal;Vitória, Espírito Santo;Active
4858;Misanthropic Triumph;Black Metal;São Paulo, São Paulo;Split-up
4859;Misanthropic Winter;Black Metal;Torres, Rio Grande do Sul;Active
4860;Misanthropy;Death/Gothic Metal;Santarém, Pará;Changed name
4861;Misantropiae;Pagan Black Metal, Ambient;São Paulo, São Paulo;Active
4862;Misbehaviour;Heavy Metal;Dourados, Mato Grosso do Sul;Active
4863;Misbeliever;Symphonic Black Metal;Governador Valadares, Minas Gerais;Active
4864;Misdeed;Black Metal;Florianópolis, Santa Catarina;Split-up
4865;Misplaced;Thrash Metal;Curitiba, Paraná;Split-up
4866;Missão Metal;Heavy Metal;Londrina, Paraná;Changed name
4867;Missão Metálica;Heavy Metal;Salvador, Bahia;Active
4868;Missas Negras;Black Metal;Campo Grande, Mato Grosso do Sul;Active
4869;Mist of Eternity;Melodic Black Metal;Teresina, Piauí;Unknown
4870;Mistery;Thrash/Death Metal;Orlândia, São Paulo;Split-up
4871;Mistetaret;Black Metal/Ambient;Ceará;Active
4872;Mistreated;Melodic Heavy Metal/Hard Rock;Pelotas, Rio Grande do Sul;Active
4873;Mistrust;Heavy Metal;Rio de Janeiro, Rio de Janeiro;On hold
4874;Mistwrath;Black Metal;Erecha, Rio Grande do Sul;Active
4875;Mithra;Black Metal;São Paulo, São Paulo;Changed name
4876;Mithrubick;Brutal Death Metal/Grindcore;Passo Fundo, Rio Grande do Sul;Active
4877;Mitra;Heavy Metal;Belém, Pará;Active
4878;Mitrium;Melodic Heavy/Power Metal;Santos, São Paulo;Split-up
4879;Mitsein;Symphonic Metal;Brasília, Distrito Federal;Active
4880;Mizmor 6.66;Black/Death Metal;Curitiba, Paraná;Active
4881;Mob Ape;Crossover;;Split-up
4882;Modorra;Experimental Death Metal;Igrejinha, Rio Grande do Sul;Split-up
4883;Mofo;Thrash Metal;Brasília, Distrito Federal;Active
4884;Mohria;Melodic Heavy Metal;Bom Despacho, Minas Gerais;Active
4885;Mohros;Power/Thrash Metal;São José dos Campos, São Paulo;Split-up
4886;Moisés Missão;Heavy Metal/Shred;Itu, São Paulo;Active
4887;Mojica;Stoner/Sludge Metal;Olinda, Pernambuco;Active
4888;Molested God;Death Metal;Teresina, Piauí;Active
4889;Molitium;Heavy/Progressive Metal;Laguna, Santa Catarina;Active
4890;Moloch;Black Metal;Recife, Pernambuco;Active
4891;Moments of Gore;Death Metal;São Vicente, São Paulo;Split-up
4892;Monasterium;Death/Doom/Gothic Metal;Teresina, Piauí;Split-up
4893;Monge;Black Metal/Grindcore;Fortaleza, Ceará;Unknown
4894;Monge Negro;Power/Thrash Metal;São Paulo, São Paulo;Split-up
4895;Monolito;Progressive Groove Metal/Hard Rock;;Active
4896;Monolito Project;Progressive Heavy/Gothic Metal;São Paulo;Active
4897;Monophobia;Depressive Black Metal;São Paulo, São Paulo;Active
4898;Monster;Heavy Metal;São Paulo, São Paulo;Split-up
4899;Monster Coyote;Stoner/Sludge Metal;Mossoró, Rio Grande do Norte;Split-up
4900;Monster Mash;Thrash Metal;Brasília, Distrito Federal;Active
4901;Monster Truck;Thrash Metal;Florianópolis, Santa Catarina;Changed name
4902;Monstractor;Southern/Thrash Metal;Resende, Rio de Janeiro;Active
4903;Monstrath;Death Metal;São Paulo, São Paulo;Active
4904;Montanha;"Heavy Metal/Hard Rock (early); Stoner Rock (later)";Santo André;Active
4905;Monte Cerrado;Power Metal;;Active
4906;Monte Resina;Stoner Metal;Florianópolis, Santa Catarina;Active
4907;Montosse;Depressive Black Metal;Recife, Pernambuco;Split-up
4908;Moonlight Scream;"Death/Black Metal (early); Post-Black Metal (later)";Belém, Pará;Changed name
4909;Moonmath;Gothic/Doom Metal;Alegrete, Rio Grande do Sul;Active
4910;Moonrise Orphan;Black Metal;Espírito Santo;Split-up
4911;Morality's Asylum;Heavy/Progressive Metal;;Active
4912;Morbad;Thrash Metal;Bauru, São Paulo;Active
4913;Morbhius;Death Metal;Santos, São Paulo;Active
4914;Morbid Abyss;Black Metal;;Active
4915;Morbid Butcher;Death/Black Metal;Colatina, Espírito Santo;Split-up
4916;Morbid Death;Death Metal;Petrópolis, Rio de Janeiro;Split-up
4917;Morbid Desecration;Black/Death Metal;Guarulhos, São Paulo;Active
4918;Morbid Devourment;Death/Thrash Metal;Brasília, Distrito Federal;Active
4919;Morbid Garden;Symphonic/Melodic Death Metal;Natal, Rio Grande do Norte;Active
4920;Morbid Impeller;Thrash/Death/Black Metal;Sete Lagoas, Minas Gerais;Split-up
4921;Morbid Metal;Death Metal;Guarulhos, São Paulo;Split-up
4922;Morbid Noise;Death Metal/Grindcore;São José do Rio Preto, São Paulo;Split-up
4923;Morbid Perversion;Black/Death Metal;Salvador, Bahia;Active
4924;Morbid Prelude;Atmospheric Pagan Metal;Governador Valadares, Minas Gerais;Split-up
4925;Morbid Prophecy;Melodic Black/Death Metal;Belo Horizonte, Minas Gerais;Active
4926;Morbid Symphony;Symphonic Black Metal;Rio de Janeiro, Rio de Janeiro;Active
4927;Morbid Visions;Thrash Metal;São Paulo, São Paulo;Split-up
4928;Morbid Whisper;Death Metal;Parnaíba, Piauí;Active
4929;Mórbida Escuridão;Black Metal;Bragança/Tracuateua, Pará;Active
4930;Morbidade;Death Metal;Cuiabá, Mato Grosso;Active
4931;Morbidead;"Brutal Death Metal (Early); Doom/Death Metal (Later)";Belém, Pará;Active
4932;Morbideath;Thrash Metal;Boituva, São Paulo;Changed name
4933;Morbideath;Grindcore;São Paulo, São Paulo;Changed name
4934;Morbidesires;Death/Gothic Metal;Rio de Janeiro, Rio de Janeiro;Unknown
4935;Mörbidez;Black/Thrash/Speed Metal;Vitória, Espírito Santo;Active
4936;Morbidoom;Black Metal;Varginha, Minas Gerais;Active
4937;MorbiDreams;Death/Doom Metal;Salvador, Bahia;Active
4938;Morbidus;Thrash Metal;Porto Alegre, Rio Grande do Sul;Split-up
4939;Morbital Disaster;Thrash/Death Metal;Recife, Pernambuco;Split-up
4940;Morbus;Black Metal;;Unknown
4941;Morbus Inferno;Thrash Metal;Florianópolis, Santa Catarina;Split-up
4942;Morbus Sacer;Black/Death Metal;São Gonçalo, Rio de Janeiro;On hold
4943;Morbydia;Gothic/Doom Metal;Teresina, Piauí;Split-up
4944;Mörbyus;Black/Speed/Doom Metal;Sorocaba, São Paulo;Active
4945;Morcegos;Death Metal;Maceió, Alagoas;Active
4946;Morcrof;Black/Doom Metal;São Paulo, São Paulo;Active
4947;Mordaz;Death Metal;Fortaleza, Ceará;Active
4948;Mordazse;Thrash Metal;Recife, Pernambuco;Active
4949;Mordeth;Progressive Death Metal;Rio Claro, São Paulo;Active
4950;Mordor;Raw Black Metal;Téofilo Otoni, Minas Gerais;Split-up
4951;Mordor Macula;Doom/Death Metal;Diadema, São Paulo;Active
4952;Mordor Truckers;Stoner/Doom Metal/Rock;Jaraguá do Sul, Santa Catarina;Active
